srcNumPackets,dstNumPackets,srcPayloadSize,dstPayloadSize,srcAvgPayloadSize,dstAvgPayloadSize,srcMaxPayloadSize,dstMaxPayloadSize,srcStdDevPayloadSize,dstStdDevPayloadSize,flowDuration,srcAvgInterarrivalTime,dstAvgInterarrivalTime,avgInterarrivalTime,srcStdDevInterarrivalTime,dstStdDevInterarrivalTime,stdDevInterarrivalTime
6,4,258,172,43,43,43,43,0,0,0.121478,24.2956,8.375,16.3353,30.177547,11.830604,21.0040755
14,38,734,42014,52,1106,52,1106,0,0,0.649902,49.915,15.432865,32.6739325,61.426934,1387.77833,724.6026320000001
8,16,364,13186,46,824,46,824,0,0,1.623129,231.875571,102.737203,167.306387,17179.58686,11420.92623,14300.256545
12,12,628,770,52,64,52,64,0,0,1.681642,152.876547,90.235726,121.5561365,259.080172,4991.784669,2625.4324205
10,6,534,268,53,45,53,45,0,0,0.449454,47.750333,75.659602,61.7049675,2415.837634,115.807,1265.8223169999999
10,6,534,268,53,45,53,45,0,0,0.380537,39.928778,52.241,46.084889000000004,2223.730342,82.5505,1153.1404209999998
10,8,534,354,53,44,53,44,0,0,0.637109,68.267778,81.137711,74.7027445,4286.82857,119.422719,2203.1256445
10,8,534,354,53,44,53,44,0,0,0.521584,55.794,66.054141,60.9240705,3770.580726,118.962633,1944.7716795000001
10,8,534,354,53,44,53,44,0,0,0.542905,60.210889,68.109,64.1599445,4060.625597,106.611547,2083.6185720000003
10,6,534,268,53,45,53,45,0,0,0.258687,27.505111,39.106801,33.305955999999995,1413.686415,57.200395,735.443405
12,6,4142,268,345,45,345,45,0,0,0.304853,25.948818,53.668801,39.8088095,1471.649189,80.404844,776.0270165
62,28,56329,2212,909,79,909,79,0,0,2.093085,34.312868,75.092445,54.7026565,3253.278833,106.113453,1679.696143
10,6,534,268,53,45,53,45,0,0,0.416952,45.088778,64.481199,54.7849885,2610.908343,99.860875,1355.384609
10,8,564,354,56,44,56,44,0,0,0.996221,110.691222,131.48,121.085611,6542.815197,202.433047,3372.624122
10,8,534,354,53,44,53,44,0,0,0.576755,64.083889,72.27157,68.1777295,4194.544962,116.493234,2155.5190979999998
2,0,138,0,69,0,69,0,0,0,2e-06,0.002,0.0,0.001,0.0,0.0,0.0
10,6,534,268,53,45,53,45,0,0,0.728252,80.916889,122.462203,101.689546,5333.802207,231.801797,2782.802002
10,8,860,1096,86,137,86,137,0,0,0.393556,43.728444,47.669145,45.698794500000005,2124.837873,71.805867,1098.32187
10,6,534,268,53,45,53,45,0,0,0.387852,38.119667,68.279203,53.199434999999994,2226.182762,105.440859,1165.8118104999999
10,8,534,354,53,44,53,44,0,0,0.53784,59.669444,68.351859,64.0106515,3893.395914,104.835672,1999.1157930000002
